Ticker,TickerName,IncludeDate
000596,古井贡酒,2019/6/17
002939,长城证券,2019/6/17
002938,鹏鼎控股,2019/6/17
002739,万达电影,2019/6/17
002410,广联达,2019/6/17
002010,传化智联,2019/6/17
000656,金科股份,2019/6/17
000629,攀钢钒钛,2019/6/17
603019,中科曙光,2019/6/17
002945,华林证券,2019/6/17
300413,芒果超媒,2019/6/17
601577,长沙银行,2019/6/17
601319,中国人保,2019/6/17
601298,青岛港,2019/6/17
601162,天风证券,2019/6/17
600733,北汽蓝谷,2019/6/17
600663,陆家嘴,2019/6/17
600299,安迪苏,2019/6/17
300498,温氏股份,2019/6/17
002311,海大集团,2018/12/17
601138,工业富联,2018/12/17
002001,新和成,2018/12/17
000661,长春高新,2018/12/17
603156,养元饮品,2018/12/17
002179,中航光电,2018/12/17
600004,白云机场,2018/12/17
300296,利亚德,2018/12/17
603986,兆易创新,2018/12/17
002120,韵达股份,2018/12/17
002422,科伦药业,2018/12/17
002773,康弘药业,2018/12/17
600760,中航沈飞,2018/12/17
600998,九州通,2018/12/17
000553,沙隆达A,2018/12/17
600027,华电国际,2018/12/17
000408,藏格控股,2018/12/17
002271,东方雨虹,2018/12/17
600566,济川药业,2018/12/17
603259,药明康德,2018/12/17
000703,恒逸石化,2018/12/17
002032,苏泊尔,2018/12/17
300142,沃森生物,2018/12/17
601066,中信建投,2018/12/17
601808,中海油服,2018/6/11
600176,中国巨石,2018/6/11
600438,通威股份,2018/6/11
600867,通化东宝,2018/6/11
000786,北新建材,2018/6/11
300408,三环集团,2018/6/11
002493,荣盛石化,2018/6/11
002625,光启技术,2018/6/11
300433,蓝思科技,2018/6/11
002925,盈趣科技,2018/6/11
002050,三花智控,2018/6/11
600809,山西汾酒,2018/6/11
601360,三六零,2018/6/11
601828,美凯龙,2018/6/11
600339,中油工程,2018/6/11
601108,财通证券,2018/6/11
601838,成都银行,2018/6/11
600516,方大炭素,2018/6/11
601238,广汽集团,2018/6/11
600398,海澜之家,2018/6/11
603288,海天味业,2018/6/11
603260,合盛硅业,2018/6/11
600487,亨通光电,2018/6/11
600346,恒力股份,2018/6/11
600025,华能水电,2018/6/11
603833,欧派家居,2017/12/11
600011,华能国际,2017/12/11
600390,五矿资本,2017/12/11
603799,华友钴业,2017/12/11
002624,完美世界,2017/12/11
300003,乐普医疗,2017/12/11
002468,申通快递,2017/12/11
002601,龙蟒佰利,2017/12/11
601012,隆基股份,2017/12/11
002294,信立泰,2017/12/11
300136,信维通信,2017/12/11
601878,浙商证券,2017/12/11
300015,爱尔眼科,2017/12/11
000898,鞍钢股份,2017/12/11
601212,白银有色,2017/12/11
600219,南山铝业,2017/12/11
601898,中煤能源,2017/12/11
300122,智飞生物,2017/12/11
002460,赣锋锂业,2017/12/11
601228,广州港,2017/12/11
600233,圆通速递,2017/6/12
002602,世纪华通,2017/6/12
002558,世纪游轮,2017/6/12
002555,三七互娱,2017/6/12
002508,老板电器,2017/6/12
002411,必康股份,2017/6/12
002352,顺丰控股,2017/6/12
002044,美年健康,2017/6/12
000961,中南建设,2017/6/12
600436,片仔癀,2017/6/12
600522,中天科技,2017/6/12
600919,江苏银行,2017/6/12
603858,步长制药,2017/6/12
603160,汇顶科技,2017/6/12
601997,贵阳银行,2017/6/12
601992,金隅股份,2017/6/12
601881,中国银河,2017/6/12
601229,上海银行,2017/6/12
601117,中国化学,2017/6/12
600977,中国电影,2017/6/12
600926,杭州银行,2017/6/12
002466,天齐锂业,2016/12/12
000627,天茂集团,2016/12/12
002714,牧原股份,2016/12/12
300072,三聚环保,2016/12/12
600482,中国动力,2016/12/12
300033,同花顺,2016/12/12
601155,新城控股,2016/12/12
000671,阳光城,2016/12/12
600498,烽火通信,2016/12/12
600297,广汇汽车,2016/12/12
601877,正泰电器,2016/12/12
002310,东方园林,2016/12/12
000938,紫光股份,2016/12/12
002027,分众传媒,2016/6/13
600061,国投安信,2016/6/13
600606,绿地控股,2016/6/13
600704,物产中大,2016/6/13
600816,安信信托,2016/6/13
001979,招商蛇口,2015/12/30
000415,渤海租赁,2015/12/14
300144,宋城演艺,2015/12/14
601198,东兴证券,2015/12/14
601211,国泰君安,2015/12/14
601985,中国核电,2015/12/14
002736,国信证券,2015/6/15
300059,东方财富,2015/6/15
600958,东方证券,2015/6/15
601021,春秋航空,2015/6/15
601788,光大证券,2015/6/15
601919,中国远洋,2015/6/15
000166,申万宏源,2015/1/26
601727,上海电气,2014/12/15
600570,恒生电子,2014/12/15
600038,哈飞股份,2014/12/15
300251,光线传媒,2014/12/15
300124,汇川技术,2014/12/15
300070,碧水源,2014/12/15
300024,机器人,2014/12/15
300017,网宿科技,2014/12/15
002153,石基信息,2014/12/15
002008,大族激光,2014/6/16
002475,立讯精密,2014/6/16
002252,上海莱士,2014/6/16
600023,浙能电力,2014/6/16
601225,陕西煤业,2014/6/16
601216,内蒙君正,2014/6/16
000413,东旭光电,2014/6/16
600705,中航投资,2013/12/16
600688,上海石化,2013/12/16
600018,上港集团,2013/12/16
002065,东华软件,2013/12/16
002230,科大讯飞,2013/12/16
002456,欧菲光,2013/12/16
000333,美的集团,2013/9/18
000963,华东医药,2013/7/1
600332,广州药业,2013/7/1
603993,洛阳钼业,2013/7/1
002236,大华股份,2013/1/4
002673,西部证券,2013/1/4
600340,华夏幸福,2013/1/4
600637,百视通,2013/1/4
600886,国投电力,2013/1/4
601800,中国交建,2013/1/4
000725,京东方A,2012/7/2
002081,金螳螂,2012/7/2
002241,歌尔声学,2012/7/2
601336,新华保险,2012/7/2
601555,东吴证券,2012/7/2
601633,长城汽车,2012/7/2
601669,中国水电,2012/7/2
601901,方正证券,2012/7/2
600372,中航电子,2012/1/4
002594,比亚迪,2012/1/4
601018,宁波港,2011/7/1
601377,兴业证券,2011/7/1
601933,永辉超市,2011/7/1
000776,广发证券,2011/1/4
002146,荣盛发展,2011/1/4
002415,海康威视,2011/1/4
600115,东方航空,2011/1/4
600276,恒瑞医药,2011/1/4
600406,国电南瑞,2011/1/4
600535,天士力,2011/1/4
600703,三安光电,2011/1/4
600893,航空动力,2011/1/4
600887,伊利股份,2011/1/4
601818,光大银行,2011/1/4
601288,农业银行,2010/7/29
002304,洋河股份,2010/7/1
600999,招商证券,2010/7/1
601607,上海医药,2010/7/1
601688,华泰证券,2010/7/1
601888,中国国旅,2010/7/1
601989,中国重工,2010/7/1
002007,华兰生物,2010/1/4
600369,西南证券,2010/1/4
601618,中国中冶,2010/1/4
601668,中国建筑,2010/1/4
601766,中国南车,2009/7/1
600352,浙江龙盛,2009/7/1
000100,TCL集团,2009/1/5
600588,用友软件,2009/1/5
600674,川投能源,2009/1/5
601186,中国铁建,2009/1/5
601899,紫金矿业,2009/1/5
000728,国元证券,2008/7/1
000783,长江证券,2008/7/1
002202,金风科技,2008/7/1
601390,中国中铁,2008/7/1
601601,中国太保,2008/7/1
601939,建设银行,2008/7/1
601169,北京银行,2008/1/2
601009,南京银行,2008/1/2
600109,国金证券,2008/1/2
600089,特变电工,2008/1/2
002142,宁波银行,2008/1/2
000895,双汇发展,2008/1/2
000423,东阿阿胶,2008/1/2
000338,潍柴动力,2008/1/2
600111,包钢稀土,2008/1/2
601857,中国石油,2007/11/19
601088,中国神华,2007/10/23
000876,新希望,2007/7/2
600837,海通证券,2007/7/2
600208,新湖中宝,2007/7/2
601328,交通银行,2007/5/29
601998,中信银行,2007/5/18
601600,中国铝业,2007/4/30
601318,中国平安,2007/3/15
601166,兴业银行,2007/2/26
601628,中国人寿,2007/1/23
600118,中国卫星,2007/1/4
600048,保利地产,2007/1/4
601111,中国国航,2007/1/4
600489,中金黄金,2007/1/4
600068,葛洲坝,2007/1/4
600547,山东黄金,2007/1/4
600066,宇通客车,2007/1/4
601398,工商银行,2006/11/10
601006,大秦铁路,2006/8/15
601988,中国银行,2006/7/19
600415,小商品城,2006/7/3
600271,航天信息,2006/4/21
000768,西飞国际,2006/1/4
600383,金地集团,2006/1/4
002024,苏宁电器,2005/7/1
000538,云南白药,2005/7/1
600583,海油工程,2005/4/8
000709,唐钢股份,2005/4/8
000002,万科A,2005/4/8
000001,深发展A,2005/4/8
000651,格力电器,2005/4/8
000063,中兴通讯,2005/4/8
000069,华侨城A,2005/4/8
000402,金融街,2005/4/8
000425,徐工科技,2005/4/8
000568,泸州老窖,2005/4/8
000630,铜陵有色,2005/4/8
000157,中联重科,2005/4/8
000625,长安汽车,2005/4/8
600900,长江电力,2005/4/8
600015,华夏银行,2005/4/8
600104,上海汽车,2005/4/8
600100,同方股份,2005/4/8
600085,同仁堂,2005/4/8
600000,浦发银行,2005/4/8
600009,上海机场,2005/4/8
600010,包钢股份,2005/4/8
600016,民生银行,2005/4/8
600019,宝钢股份,2005/4/8
600028,中国石化,2005/4/8
600029,南方航空,2005/4/8
600030,中信证券,2005/4/8
600031,三一重工,2005/4/8
600036,招商银行,2005/4/8
600153,建发股份,2005/4/8
600188,兖州煤业,2005/4/8
000858,五粮液,2005/4/8
600795,国电电力,2005/4/8
600741,巴士股份,2005/4/8
600690,青岛海尔,2005/4/8
600660,福耀玻璃,2005/4/8
600585,海螺水泥,2005/4/8
600519,贵州茅台,2005/4/8
600362,江西铜业,2005/4/8
600309,烟台万华,2005/4/8
600221,海南航空,2005/4/8
600196,复星医药,2005/4/8
600170,上海建工,2005/4/8
600177,雅戈尔,2005/4/8
600050,中国联通,2005/4/8
