Date,Open,High,Low,Close,Volume,Adj Close
2020-02-25,323.94,324.61,311.69,312.65,205342274,312.65
2020-02-24,323.14,333.5623,321.24,322.42,160991237,322.42
2020-02-21,335.47,335.81,332.58,333.48,113656552,333.48
2020-02-20,337.7423,338.64,333.6817,336.95,73891268,336.95
2020-02-19,337.79,339.08,337.48,338.34,48587393,338.34
2020-02-18,336.51,337.6677,335.21,336.73,57195407,336.73
2020-02-14,337.51,337.73,336.2,337.6,64518123,337.6
2020-02-13,335.8621,338.12,335.56,337.06,54038002,337.06
2020-02-12,336.83,337.65,336.43,337.42,42844434,337.42
2020-02-11,336.1697,337.02,334.684,335.26,54773045,335.26
2020-02-10,331.23,334.75,331.19,334.68,41779456,334.68
2020-02-07,332.82,333.9941,331.6,332.2,64074382,332.2
2020-02-06,333.91,334.19,332.8,333.98,49982975,333.98
2020-02-05,332.2701,333.09,330.67,332.86,64864742,332.86
2020-02-04,328.07,330.01,327.72,329.06,61704740,329.06
2020-02-03,323.35,326.16,323.22,324.12,68931216,324.12
2020-01-31,327,327.17,320.73,321.73,113659402,321.73
2020-01-30,324.36,327.91,323.54,327.68,75184385,327.68
2020-01-29,328.38,328.63,326.4,326.62,53714641,326.62
2020-01-28,325.06,327.85,323.6038,326.89,63519891,326.89
2020-01-27,323.03,325.12,322.66,323.5,83797934,323.5
2020-01-24,332.44,332.53,327.36,328.77,87465785,328.77
2020-01-23,330.63,332.1682,329.41,331.72,51828259,331.72
2020-01-22,332.24,332.95,331.17,331.34,48705035,331.34
2020-01-21,330.9,332.18,330.82,331.3,77624157,331.3
2020-01-17,331.7,332.18,330.8539,331.95,95778839,331.95
2020-01-16,329.7,330.92,329.45,330.92,53788867,330.92
2020-01-15,327.35,329.02,327.26,328.19,71870739,328.19
2020-01-14,327.47,328.62,326.844,327.45,62784185,327.45
2020-01-13,326.39,327.96,325.92,327.95,47026115,327.95
2020-01-10,327.2899,327.46,325.2,325.71,53028660,325.71
2020-01-09,326.15,326.73,325.52,326.65,48421935,326.65
2020-01-08,322.94,325.78,322.67,324.45,68177241,324.45
2020-01-07,323.02,323.54,322.24,322.73,40461249,322.73
2020-01-06,320.49,323.73,320.36,323.64,55596982,323.64
2020-01-03,321.16,323.64,321.1,322.41,77708081,322.41
2020-01-02,323.54,324.89,322.53,324.87,59037072,324.87
2019-12-31,320.53,322.13,320.15,321.86,57059907,321.86
2019-12-30,322.95,323.1,320.55,321.08,49652827,321.08
2019-12-27,323.74,323.8,322.28,322.86,42523486,322.86
2019-12-26,321.65,322.95,321.64,322.94,30854382,322.94
2019-12-24,321.47,321.52,320.9,321.23,20270007,321.23
2019-12-23,321.59,321.65,321.06,321.22,52980805,321.22
2019-12-20,320.46,321.9742,319.3873,320.73,149214080,320.73
